date,pm25
12/10/2014,8.595671378
13/10/2014,7.085321821
14/10/2014,9.143990654
15/10/2014,13.45998214
16/10/2014,7.709447853
17/10/2014,7.137222222
18/10/2014,5.110877437
19/10/2014,6.306895388
20/10/2014,14.39349645
21/10/2014,16.73917942
22/10/2014,13.1868128
23/10/2014,12.95315278
24/10/2014,3.75382996
25/10/2014,5.616296992
26/10/2014,10.90987903
27/10/2014,13.46666303
28/10/2014,13.54148629
29/10/2014,5.794412771
30/10/2014,9.9234181
31/10/2014,12.31155405
1/11/2014,3.63374269
2/11/2014,2.480212089
3/11/2014,7.823906856
4/11/2014,25.05289009
5/11/2014,16.48354082
6/11/2014,6.363463983
7/11/2014,4.138201811
8/11/2014,2.737905405
9/11/2014,2.71923777
10/11/2014,8.496946625
11/11/2014,11.124624
12/11/2014,13.28876566
13/11/2014,3.136
14/11/2014,5.634566929
16/11/2014,4.544306306
17/11/2014,3.429027778
18/11/2014,5.673791667
19/11/2014,5.727809452
20/11/2014,4.302158761
21/11/2014,6.059736842
22/11/2014,5.948992248
23/11/2014,3.113072349
24/11/2014,4.325528517
25/11/2014,6.565022989
26/11/2014,8.875297114
27/11/2014,15.84423077
28/11/2014,10.67061111
29/11/2014,7.925694444
30/11/2014,18.75263889
12/12/2014,15.76252096
13/12/2014,13.13089652
14/12/2014,4.790761636
15/12/2014,1.607209528
16/12/2014,6.731992586
17/12/2014,6.202236169
18/12/2014,5.74330697
19/12/2014,7.896173143
20/12/2014,3.240260078
21/12/2014,3.508933718
22/12/2014,4.58718127
23/12/2014,7.415926641
24/12/2014,4.856715614
25/12/2014,4.128296245
26/12/2014,4.104919225
27/12/2014,2.335758718
28/12/2014,4.44
29/12/2014,5.516371814
30/12/2014,4.120614525
31/12/2014,13.67331389
1/1/2015,18.83785408
2/1/2015,8.071730475
3/1/2015,7.529461883
4/1/2015,14.5243833
5/1/2015,3.74365113
13/1/2015,6.392666174
14/1/2015,4.3728684
15/1/2015,9.08393489
16/1/2015,21.77075812
17/1/2015,20.74534218
18/1/2015,11.66454899
19/1/2015,10.06582639
20/1/2015,14.4596993
21/1/2015,15.69555556
22/1/2015,23.10214495
23/1/2015,16.52542334
24/1/2015,18.25381999
25/1/2015,23.029281
26/1/2015,17.04768095
27/1/2015,20.57901216
28/1/2015,9.375546647
29/1/2015,7.016264151
30/1/2015,11.7658302
31/1/2015,8.86548433
2/2/2015,5.31671721
3/2/2015,15.35513453
4/2/2015,5.16666242
5/2/2015,8.896891892
13/2/2015,14.10260627
14/2/2015,13.00435327
15/2/2015,9.040075019
16/2/2015,8.33840379
17/2/2015,8.15265015
18/2/2015,8.049666425
19/2/2015,8.998363229
20/2/2015,7.434651361
21/2/2015,11.30876147
22/2/2015,6.211697248
23/2/2015,17.90532477
24/2/2015,13.83314332
25/2/2015,8.816588818
26/2/2015,10.37330532
27/2/2015,6.808257098
28/2/2015,6.381222741
2/3/2015,6.279484012
3/3/2015,8.669016266
4/3/2015,14.38998553
5/3/2015,8.35073736
13/3/2015,10.32097425
14/3/2015,11.64044444
15/3/2015,13.40192905
16/3/2015,28.65357606
17/3/2015,22.62916551
18/3/2015,23.02841463
23/3/2015,5.976336634
24/3/2015,35.60698353
25/3/2015,15.21589943
26/3/2015,18.181918
27/3/2015,6.41525
28/3/2015,6.894416667
29/3/2015,9.634251799
30/3/2015,8.844387684
31/3/2015,12.094171
2/4/2015,4.792416251
3/4/2015,16.86442565
4/4/2015,14.67041458
5/4/2015,10.98887334
13/4/2015,36.01772526
14/4/2015,16.57446441
15/4/2015,6.135310651
16/4/2015,10.77964873
17/4/2015,6.872537092
18/4/2015,10.62243478
19/4/2015,46.14751868
21/4/2015,206.6585848
22/4/2015,28.08084203
23/4/2015,23.37853246
26/4/2015,3.480361882
27/4/2015,5.377456324
28/4/2015,4.410149573
29/4/2015,4.865220217
30/4/2015,9.362310954
1/5/2015,9.100914352
2/5/2015,8.904018476
3/5/2015,14.78184414
4/5/2015,18.17704133
5/5/2015,18.09957584
1/6/2015,7.989793447
2/6/2015,7.19384273
3/6/2015,16.51669505
4/6/2015,25.41072516
5/6/2015,21.43940623
1/7/2015,7.214845516
2/7/2015,7.675250187
3/7/2015,15.09100291
4/7/2015,15.2292408
